name,latitude,longitude,description,city,country,address
Enghenbergje,52.1702,5.30296,Wikidata: Q13135468,Soest,Netherlands,
Engine Company 12,38.91199683,-77.009455,Wikidata: Q15216652,"Washington, D.C.",United States,
Engine Company 16-Truck Company 3,38.903333,-77.029722,Wikidata: Q5377677,"Washington, D.C.",United States,
Engine Company 26,38.924722,-76.986667,Wikidata: Q5377685,"Washington, D.C.",United States,
Engine Company 29,38.915555,-77.093536,Wikidata: Q60747938,"Washington, D.C.",United States,
Engine Company 31,38.954444,-77.069444,Wikidata: Q5377689,"Washington, D.C.",United States,
Engine House No. 6,42.713611,-71.149722,Wikidata: Q5377721,Massachusetts,United States,
Englebelmer Communal Cemetery,50.056926,2.604262,Wikidata: Q2246068,Englebelmer,France,
English Cemetery,44.006293,10.589609,Wikidata: Q3676964,Bagni di Lucca,Italy,
English Cemetery in Malaga,36.72168478,-4.406812355,Wikidata: Q5378201,Málaga,Spain,
"English Cemetery, Florence",43.777525,11.268163888,Wikidata: Q1092134,Florence,Italy,
Enid Cemetery,36.421667,-97.879722,Wikidata: Q5378860,Enid,United States,
Enrollment Services Center,42.025,-93.648889,Wikidata: Q5379884,Iowa,United States,
Enzenbühl cemetery,47.3496,8.5807,Wikidata: Q1457321,Canton of Zürich,Switzerland,
Ephraim-Palais,52.515848,13.40714,Wikidata: Q878325,Bezirk Mitte,Germany,
Epinal American Cemetery,48.143889,6.496667,Wikidata: Q2190686,Dinozé,France,
Episcopal Burying Ground and Chapel,38.0472,-84.4891,Wikidata: Q5383286,Lexington,United States,
Episcopal Cemetery,36.296111,-76.220556,Wikidata: Q5383289,North Carolina,United States,
Equitable Building,40.70822,-74.01052,Wikidata: Q1347892,New York,United States,
Erandio,43.303889,-2.974444,Wikidata: Q3034969,Erandio,Spain,
Erbbegräbnisstätte Schede,51.3953,7.37799,Wikidata: Q1233200,Herdecke,Germany,
Erfurt Main Cemetery,50.9714,10.9933,Wikidata: Q1589458,Erfurt,Germany,
Erie Armory,42.1325,-80.077778,Wikidata: Q5388269,Erie,United States,
Erie Cemetery,42.111388888,-80.084722222,Wikidata: Q5388282,Erie,United States,
Erieview Tower,41.5053,-81.6883,Wikidata: Q5388371,Cleveland,United States,
Eringhem churchyard,50.896257,2.345705,Wikidata: Q5166556,Eringhem,France,
Erlacherhof,46.9475,7.453611111,Wikidata: Q1355223,Bern,Switzerland,
Ermita de la Virgen del Val,40.484185,-3.340189,Wikidata: Q5836024,Alcalá de Henares,Spain,
Ernst & Young Building,51.91425,4.486444444,Wikidata: Q24200092,Rotterdam,Netherlands,
Ernst-Happel-Stadion,48.207222222,16.420833333,Wikidata: Q185741,,,
Errancis Cemetery,48.88081,2.316759,Wikidata: Q2972595,Paris,France,
Erweiterungsbau für das Ordrupgaard Museum,55.76711,12.56319,Wikidata: Q123925341,Gentofte Municipality,Denmark,
Esbjerg Performing Arts Centre,55.4641,8.45154,Wikidata: Q16891116,Esbjerg Municipality,Denmark,
Escoeuilles Churchyard,50.726705,1.930032,Wikidata: Q3320145,Escœuilles,France,
Escorxador municipal,42.199571,2.192503,Wikidata: Q65205700,Ripoll,Spain,
Escuela de Artes y Oficios de Algeciras,36.13683192,-5.447939928,Wikidata: Q5839060,Algeciras,Spain,
"Escuela de Artes y Oficios, Zaragoza",41.648967,-0.878455,Wikidata: Q48782135,Zaragoza,Spain,
Escuelas Aguirre,40.421667,-3.681667,Wikidata: Q5397501,Recoletos,Spain,
Escuelas Lope de Vega de Parla,40.238055555,-3.768333333,Wikidata: Q97729040,Parla,Spain,
Església de Sant Esteve,42.5072,1.5217,Wikidata: Q63789,Andorra la Vella,Andorra,
Esnes Communal Cemetery,50.1062,3.3147,Wikidata: Q2006971,Esnes,France,
Esperanza,41.85638889,-73.00180556,Wikidata: Q29649417,New Hartford,United States,
"Esplanada dos Ministérios, Bloco A",-15.7987,-47.8734,Wikidata: Q127605341,Brasília,Brazil,
"Esplanada dos Ministérios, Bloco B",-15.799,-47.8726,Wikidata: Q127605370,Brasília,Brazil,
"Esplanada dos Ministérios, Bloco C",-15.7993,-47.8718,Wikidata: Q127605379,Brasília,Brazil,
"Esplanada dos Ministérios, Bloco D",-15.7996,-47.871,Wikidata: Q127605422,Brasília,Brazil,
"Esplanada dos Ministérios, Bloco G",-15.8003,-47.8685,Wikidata: Q127605440,,,
"Esplanada dos Ministérios, Bloco L",-15.7951,-47.8731,Wikidata: Q127605452,Brasília,Brazil,
"Esplanada dos Ministérios, Bloco N",-15.7955,-47.8714,Wikidata: Q127605462,Brasília,Brazil,
"Esplanada dos Ministérios, Bloco P",-15.7961,-47.8698,Wikidata: Q127605464,Brasília,Brazil,
"Esplanada dos Ministérios, Bloco R",-15.7968,-47.8672,Wikidata: Q127605466,Brasília,Brazil,
"Esplanada dos Ministérios, Bloco U",-15.7966,-47.8681,Wikidata: Q127605467,Brasília,Brazil,
Esquelbecq Communal Cemetery,50.889,2.4329,Wikidata: Q2192900,Esquelbecq,France,
Esquerchin Communal Cemetery,50.37946,3.01084,Wikidata: Q5061468,Esquerchin,France,
Essars Communal Cemetery,50.5504,2.6714,Wikidata: Q2198975,Essars,France,
Essen Central Station,51.451388888,7.013888888,Wikidata: Q135607,Essen,Germany,
Essen City Hall,51.458055555,7.016111111,Wikidata: Q135672,Essen,Germany,
Estación de Servicio Repsol - Foster,39.487702777,-0.404213888,Wikidata: Q20014920,Valencia,Spain,
Estadio Banorte,19.303055555,-99.150555555,Wikidata: Q320454,,,
Estadio Centenario,-34.894444,-56.152778,Wikidata: Q498245,,,
Estádio da Luz,38.752777777,-9.184722222,Wikidata: Q7875112,,,
Estadio de La Cartuja,37.417236,-6.004564,Wikidata: Q368737,,,
Estádio do Dragão,41.161758,-8.583933,Wikidata: Q271454,,,
Estádio José Alvalade,38.761194444,-9.160783333,Wikidata: Q287359,,,
Estádio Municipal de Braga,41.5624,-8.4308,Wikidata: Q849239,"Real, Dume e Semelhe",Portugal,
Estádio Nacional de Brasília,-15.7835,-47.899164,Wikidata: Q336088,,,
Estádio Nilton Santos,-22.893172,-43.292269,Wikidata: Q17489,,,
Estádio Serra Dourada,-16.698889,-49.233889,Wikidata: Q924172,Goiânia,Brazil,
Esztergom Basilica,47.798888888,18.736388888,Wikidata: Q991832,Esztergom,Hungary,
Et Oeis van ’t Brussels,50.85245,4.345777777,Wikidata: Q42418418,City of Brussels,Belgium,
Établissement des bains publics dunkerquois,51.0305,2.3725,Wikidata: Q22960716,Dunkirk,France,
Étaples Military Cemetery,50.535277777,1.6225,Wikidata: Q2972667,Étaples,France,
Eternitatea cemetery,47.167777777,27.608888888,Wikidata: Q5402751,Iași,Romania,
Ethnographic Museum of Zagreb,45.8083503,15.9689998,Wikidata: Q502157,Donji grad,Croatia,
Etihad Stadium,53.483055555,-2.200277777,Wikidata: Q48159,,,
Eugene J. Carpenter House,44.966389,-93.283056,Wikidata: Q5407370,Minneapolis,United States,
Eugene Masonic Cemetery,44.031389,-123.073333,Wikidata: Q5407495,Eugene,United States,
Eugene Pioneer Cemetery,44.041389,-123.076111,Wikidata: Q5407643,Oregon,United States,
Euharlee's Black Pioneers Cemetery,34.1473,-84.9334,Wikidata: Q5408638,Euharlee,United States,
Euphrosyne Cemetery in Vilnius,54.664867,25.296364,Wikidata: Q1959467,Vilnius,Lithuania,
Eureka Tower,-37.821666666,144.964444444,Wikidata: Q270407,City of Melbourne,Australia,
Europa building,50.8425,4.380833333,Wikidata: Q1375164,City of Brussels,Belgium,
Evangelical Cemetery of the Augsburg Confession in Warsaw,52.24138889,20.97111111,Wikidata: Q1379798,Warsaw,Poland,
Evangelischer Friedhof Alt-Schmargendorf,52.473722222,13.293894444,Wikidata: Q1294974,Charlottenburg-Wilmersdorf,Germany,
Evelynton,37.32991667,-77.15358333,Wikidata: Q14712300,Charles City County,United States,
Évêques-de-Trois-Rivières Mausoleum,46.3525,-72.575,Wikidata: Q3301851,Trois-Rivières,Canada,
Evere Cemetery,50.86944,4.42028,Wikidata: Q2020581,Evere,Belgium,
Evergreen Cemetery,40.6922,-74.2108,Wikidata: Q5417175,Hillside,United States,
Evergreen Cemetery,44.8888,-91.9122,Wikidata: Q5417184,Menomonie,United States,
Evergreen Cemetery,58.3047,-134.4236,Wikidata: Q5417183,Juneau,United States,
Evergreen Cemetery,38.815556,-104.795278,Wikidata: Q5417181,Colorado Springs,United States,
Evergreen Cemetery,42.107222,-76.265278,Wikidata: Q5417187,Owego,United States,
Evergreen Cemetery,34.04225,-118.201013888,Wikidata: Q5417177,Los Angeles,United States,
Evergreen Cemetery,43.681667,-70.301111,Wikidata: Q5417188,Portland,United States,
Evergreen Cemetery,42.339806,-71.161111,Wikidata: Q5417180,Boston,United States,
Evergreen Cemetery,33.9799,-117.3869,Wikidata: Q5417190,Riverside,United States,
Evergreen Cemetery,36.064167,-94.169167,Wikidata: Q5417182,Arkansas,United States,
Evergreen Cemetery,37.5338,-77.3888,Wikidata: Q5417189,Richmond,United States,
Evergreen Cemetery,39.8208,-77.2293,Wikidata: Q5417176,Gettysburg,United States,
Eversberg War Cemetery,51.3677,8.29896,Wikidata: Q1300091,Meschede,Germany,
Everson Museum of Art,43.0447,-76.1469,Wikidata: Q5417350,Syracuse,United States,
Everton Cemetery,53.457,-2.942,Wikidata: Q5417393,Liverpool,United Kingdom,
Evolution Tower,55.74847,37.541827,Wikidata: Q1985903,Moscow,Russia,
Ex casa della Telefonica Tirrena,41.884780555,12.508597222,Wikidata: Q21208516,Rome,Italy,
Exaltation of the Holy Cross Church Cemetery in Jelenia Góra,50.904856,15.743839,Wikidata: Q1533053,Jelenia Góra,Poland,
Experimental Theater,18.9252,72.8199,Wikidata: Q15217115,Mumbai,India,
Exxon Building,40.76,-73.9814,Wikidata: Q173498,New York,United States,
Eyüpsultan Cemetery,41.05219,28.93329,Wikidata: Q6002600,Eyüp,Turkey,
Fàbrica Albiñana Ribas,41.5678,2.00895,Wikidata: Q18696189,Terrassa,Spain,
Facultad de Ciencias de la Comunicación de Santiago de Compostela,42.891615767,-8.543509494,Wikidata: Q25509569,Santiago de Compostela,Spain,
Faffemont Isolated Grave,50.003857,2.844355,Wikidata: Q2218189,Combles,France,
Fair Grove Methodist Church Cemetery,35.851389,-80.078333,Wikidata: Q5429814,North Carolina,United States,
Fair Hill Burial Ground,39.9967,-75.1464,Wikidata: Q4906792,Philadelphia,United States,
Fairbanks City Hall,64.8397,-147.721,Wikidata: Q19868022,Fairbanks,United States,
Fairfield Street School,44.808611111,-73.079166666,Wikidata: Q27958472,St. Albans,United States,
Fairmont Senior High School,39.4786,-80.1572,Wikidata: Q5430605,Fairmont,United States,
Fairmont Singapore,1.29417,103.854,Wikidata: Q5430604,Downtown Core,Singapore,
Fairmount Cemetery,40.7464,-74.2031,Wikidata: Q5430637,Newark,United States,
Fairmount Cemetery,39.7053,-104.897,Wikidata: Q5430638,Denver,United States,
Fairmount First Presbyterian Churchyard,40.73596,-74.77475,Wikidata: Q120098688,Hunterdon County,United States,
Fairmount Methodist Churchyard,40.72597,-74.77597,Wikidata: Q120801867,Tewksbury Township,United States,
Fairview Cemetery,40.862,-75.24,Wikidata: Q5430797,Pen Argyl,United States,
Fairview Cemetery,42.245556,-71.140361,Wikidata: Q5430795,Boston,United States,
Fairview Cemetery,42.586944,-71.420833,Wikidata: Q5430803,Westford,United States,
Fairview Cemetery,42.476944,-73.1725,Wikidata: Q5430796,Dalton,United States,
Fairview Cemetery,35.6754901,-105.9590801,Wikidata: Q5430798,Santa Fe,United States,
Fairy Lochs,57.676277777,-5.677819444,Wikidata: Q5430965,Highland,United Kingdom,
Faisal Mosque,33.729727777,73.03715,Wikidata: Q500983,Islamabad,Pakistan,
Fallingwater,39.906388888,-79.468055555,Wikidata: Q463179,Stewart Township,United States,
Familiebegraafplaats Uniken,53.03542,6.88561,Wikidata: Q1871617,Stadskanaal,Netherlands,
Fampoux British Cemetery,50.305177,2.859293,Wikidata: Q2298047,Fampoux,France,
Fatih Istanbul Mosque,41.019722,28.949722,Wikidata: Q756189,,,
Faumont churchyard,50.458687,3.136535,Wikidata: Q2208500,Faumont,France,
Favreuil British Cemetery,50.122645,2.865209,Wikidata: Q2746932,Favreuil,France,
Fawkner Memorial Park,-37.711944444,144.957222222,Wikidata: Q5438753,City of Merri-bek,Australia,
FCG Building,35.626944,139.774444,Wikidata: Q10954019,Tokyo,Japan,
Federal Building,36.14722222,-81.35416667,Wikidata: Q20709194,North Carolina,United States,
Federal Building and United States Courthouse,42.49602778,-96.40716667,Wikidata: Q28125850,Sioux City,United States,
Federal Military Memorial Cemetery,55.927222222,37.675277777,Wikidata: Q2895767,Mytishchi,Russia,
Federal Office Building,47.604444,-122.335,Wikidata: Q5440316,Seattle,United States,
Fedyakovskoye Cemetery,56.230555555,44.078055555,Wikidata: Q4482364,Nizhny Novgorod Oblast,Russia,
Feldkapelle,50.592980832,6.727386645,Wikidata: Q992149,Mechernich,Germany,
"Félix de la Torre's house, Madrid",40.431752777,-3.683172222,Wikidata: Q29462650,Madrid,Spain,
Feltrinelli Porta Volta,45.481417,9.184359,Wikidata: Q44470963,Milan,Italy,
Fenain Communal Cemetery,50.353151,3.306797,Wikidata: Q2097417,Fenain,France,
Feriköy Protestant Cemetery,41.053889,28.983889,Wikidata: Q5444318,Şişli,Turkey,
Fern Lake Patrol Cabin,40.338056,-105.676111,Wikidata: Q5444463,Larimer County,United States,
Fernández López Building of the Pontevedra Museum,42.432305555,-8.643222222,Wikidata: Q117457185,Pontevedra,Spain,
Ferncliff Cemetery,41.0275,-73.8325,Wikidata: Q1771319,Greenburgh,United States,
Fernhill Cemetery,45.2944,-66.034,Wikidata: Q2972447,New Brunswick,Canada,
Fernsehturm Berlin,52.520833333,13.409444444,Wikidata: Q151356,,,
Festubert Communal Cemetery,50.5432,2.7292,Wikidata: Q2003083,Festubert,France,
Fiat Tagliero Building,15.32833333,38.92583333,Wikidata: Q1410651,Asmara,Eritrea,
"Filialkirche hl. Geist, Straßburg",46.8932,14.3263,Wikidata: Q1595177,Strassburg,Austria,
"Filialkirche hl. Gertrud, Unterradlberg",48.255525,15.677758,Wikidata: Q2126542,St. Pölten,Austria,
Filialkirche St Florian am Krappfeld,46.8005,14.5185,Wikidata: Q1230792,Kappel am Krappfeld,Austria,
"Filialkirche St. Martin, Launsdorf",46.7588,14.466,Wikidata: Q1295134,St. Georgen am Längsee,Austria,
Finn's Point National Cemetery,39.611111111,-75.555833333,Wikidata: Q5450596,Pennsville,United States,
Fira,41.3521,2.13084,Wikidata: Q5492214,L'Hospitalet de Llobregat,Spain,
Fira de Barcelona (Gran Via),41.354515075,2.129147052,Wikidata: Q124327252,La Marina de Port,Spain,
Fire Department Headquarters-Fire Alarm Headquarters,38.923333,-77.013056,Wikidata: Q5451345,"Washington, D.C.",United States,
First Bank of the United States,39.948055555,-75.146388888,Wikidata: Q934187,Philadelphia,United States,
First Baptist Church of Bowdoin and Coombs Cemetery,44.039444,-69.945556,Wikidata: Q5452453,Maine,United States,
First Burial Ground,42.481667,-71.153056,Wikidata: Q5452575,Woburn,United States,
First Cemetery of Athens,37.963161111,23.737875,Wikidata: Q1362125,Athens Municipality,Greece,
"First Church of Christ, Scientist",42.3477,-71.2071,Wikidata: Q5452692,Newton,United States,
First Congregational Church,42.375556,-71.24,Wikidata: Q5452826,Waltham,United States,
First Congregational Church and Cemetery,44.277778,-73.568056,Wikidata: Q5452828,New York,United States,
first Goetheanum,47.486,7.62044,Wikidata: Q71727917,Dornach,Switzerland,
First National Center,35.468333333,-97.516111111,Wikidata: Q5453420,Oklahoma City,United States,
First Old School Baptist Church of Roxbury and Vega Cemetery,42.249444,-74.536111,Wikidata: Q5453463,New York,United States,
First Presbyterian Church,40.5618,-74.2737,Wikidata: Q5453666,Woodbridge Township,United States,
First Presbyterian Church,40.220333333,-74.763333333,Wikidata: Q5453643,Trenton,United States,
First Presbyterian Church Cemetery,35.9643,-83.9161,Wikidata: Q5453657,Knoxville,United States,
First Shearith Israel Graveyard,40.7125,-73.998333,Wikidata: Q5453797,New York,United States,
First Unitarian Church,45.518156,-122.68573,Wikidata: Q5453953,Portland,United States,
First United Methodist Church,33.66108031,-95.55318685,Wikidata: Q5454008,Paris,United States,
Fisherman's Bastion,47.50222,19.03472,Wikidata: Q493117,Budapest District I,Hungary,
Fishing Bridge Museum,44.563,-110.378,Wikidata: Q5455006,Park County,United States,
Fiume Road Graveyard,47.495769444,19.090586111,Wikidata: Q288130,Budapest District VIII,Hungary,
"Five Scattered Houses, Ningbo",29.811064,121.546801,Wikidata: Q15704247,Zhejiang,China,
Flame Towers,40.359722222,49.826111111,Wikidata: Q80499,,,
Flanders Field American Cemetery and Memorial,50.873611,3.453889,Wikidata: Q2216737,Waregem,Belgium,
Flaybrick Memorial Gardens,53.4,-3.065,Wikidata: Q5458303,Wirral,United Kingdom,
Flers-en-Escrebieux Communal Cemetery,50.402173,3.049997,Wikidata: Q2933532,Flers-en-Escrebieux,France,
Flines-lez-Raches churchyard,50.429616,3.180538,Wikidata: Q4843865,Flines-lez-Raches,France,
Florence American Cemetery and Memorial,43.691528,11.208206,Wikidata: Q952641,Impruneta,Italy,
Florence Cathedral,43.773055555,11.256944444,Wikidata: Q191739,Florence,Italy,
Florida National Cemetery,28.605830555,-82.210088888,Wikidata: Q5461525,Sumter County,United States,
Flower Hill Cemetery,40.7882,-74.0251,Wikidata: Q5462169,North Bergen,United States,
Flowerdown Barrows,51.0913,-1.3454,Wikidata: Q5462256,England,United Kingdom,
Fluntern Cemetery,47.3833,8.57235,Wikidata: Q666565,Canton of Zürich,Switzerland,
Flushing Cemetery,40.751666666,-73.799444444,Wikidata: Q2972524,New York,United States,
Fondation des États-Unis,48.81983157,2.339695708,Wikidata: Q3075639,Paris,France,
Fondation Jérôme Seydoux-Pathé,48.834176971,2.354912,Wikidata: Q16038744,Paris,France,
Fondation suisse,48.818194903,2.342275276,Wikidata: Q646264,Paris,France,
Fondazione Prada Building,45.444008,9.204279,Wikidata: Q55832089,Milan,Italy,
Fontaine-au-Bois Communal Cemetery,50.1441,3.646,Wikidata: Q2577841,Fontaine-au-Bois,France,
Fontaine-au-Pire Communal Cemetery,50.130518,3.370177,Wikidata: Q2198355,Fontaine-au-Pire,France,
Fontaine-lavoir et cimetière de Pennesières,47.485233,6.098942,Wikidata: Q2972548,Pennesières,France,
Fontainebleau Miami Beach,25.8178372,-80.1227119,Wikidata: Q1435790,Miami Beach,United States,
Fontanelle cemetery,40.858111111,14.239055555,Wikidata: Q782398,Naples,Italy,
Foochow Mission Cemetery,26.0423,119.313,Wikidata: Q5465253,Cangshan District,China,
Forbidden City,39.915833333,116.390833333,Wikidata: Q80290,,,
Ford Park Cemetery,50.383055555,-4.143333333,Wikidata: Q5467891,City of Plymouth,United Kingdom,
Forest Cemetery,56.987222222,24.149444444,Wikidata: Q2564167,Riga,Latvia,
Forest cemetery (cemetery grounds and funeral parlour),47.7082,8.65115,Wikidata: Q2541524,Schaffhausen,Switzerland,
Forest City Cemetery,43.633,-70.28,Wikidata: Q5468819,Maine,United States,
Forest Hill Cemetery,43.0634,-89.431330555,Wikidata: Q5468923,Madison,United States,
Forest Hill Cemetery,42.2777,-83.7305,Wikidata: Q5468925,Ann Arbor,United States,
Forest Hill Cemetery,43.078055555,-75.253888888,Wikidata: Q2972526,Utica,United States,
Forest Hills Cemetery,42.294688,-71.104916,Wikidata: Q5468959,Boston,United States,
Forest Home Cemetery,42.999437,-87.943157,Wikidata: Q1437196,Milwaukee,United States,
Forest Lawn Cemetery,42.9308,-78.8608,Wikidata: Q5469014,Buffalo,United States,
Forest Lawn Cemetery,37.5945,-77.4354,Wikidata: Q5469017,Richmond,United States,
Forest Lawn Memorial Park,34.124166666,-118.241944444,Wikidata: Q1437214,Glendale,United States,
Forest Lawn Memorial Park,49.2472,-122.992,Wikidata: Q5469022,British Columbia,Canada,
Forest Lawn Memorial Park,34.145,-118.32,Wikidata: Q1302545,Hollywood Hills,United States,
Forest Municipal Hall,50.811357,4.319004,Wikidata: Q2834825,Forest,Belgium,
Forest Park Cemetery,42.7173,-73.6362,Wikidata: Q5469052,New York,United States,
Forest-l'Abbaye Churchyard,50.207343,1.82376,Wikidata: Q2757433,Forest-l'Abbaye,France,
Forest-Montiers Churchyard,50.24591,1.736819,Wikidata: Q1944164,Forest-Montiers,France,
Former casino of Hendaye,43.371238,-1.785762,Wikidata: Q20947149,Hendaye,France,
Former Mitsui & Co. Moji branch,33.945167,130.962194,Wikidata: Q11510897,Kitakyushu,Japan,
"Former Muto Villa, Kobe",34.630083,135.036361,Wikidata: Q11511082,Kobe,Japan,
former Poznań Town Hall,52.40833333,16.93416667,Wikidata: Q53211,Poznań,Poland,
Former Reidsville High School,36.36277778,-79.67055556,Wikidata: Q24040065,Reidsville,United States,
Former Sharp's House,34.700978,135.189256,Wikidata: Q515026,Kobe,Japan,
Former Tokyo Metropolitan Government Building,35.676944444,139.764166666,Wikidata: Q135106812,Tokyo,Japan,
Former United States Post Office,44.27884,-88.27041,Wikidata: Q5470141,Kaukauna,United States,
Försterfriedhof Barsberge,52.8658,11.7146,Wikidata: Q1480178,Seehausen (Altmark),Germany,
Fort Custer National Cemetery,42.336305555,-85.316194444,Wikidata: Q5471005,Kalamazoo County,United States,
Fort Golgotha and the Old Burial Hill Cemetery,40.871389,-73.423889,Wikidata: Q5471233,New York,United States,
Fort Smith Masonic Temple,35.385833,-94.418333,Wikidata: Q5472049,Arkansas,United States,
Forum Building,41.411013,2.220916,Wikidata: Q2842986,El Besòs i el Maresme,Spain,
Foundation E.G. Bührle Collection,47.353045,8.561758,Wikidata: Q666331,Zurich,Switzerland,
Fouquieres Churchyard,50.514515,2.610824,Wikidata: Q2687892,Fouquières-lès-Béthune,France,
"Four Domes Pavilion, Wrocław",51.1083,17.0761,Wikidata: Q11814615,Dąbie,Poland,
Four Seasons Hotel New York,40.76229,-73.97127,Wikidata: Q992616,New York,United States,
Fox Theatre,47.6571,-117.427,Wikidata: Q5476991,Spokane,United States,
Fragrant Hill Hotel,39.988308,116.188461,Wikidata: Q16075106,Xiangshan Subdistrict,China,
Francis Buttrick Library,42.376389,-71.239722,Wikidata: Q5480388,Waltham,United States,
"Franciscan Church, Salzburg",47.7982,13.0441,Wikidata: Q1450274,Salzburg,Austria,
Frankfurt (Main) Hbf,50.107256,8.662616,Wikidata: Q165368,Frankfurt,Germany,
Frankfurt (Main) Süd,50.099204,8.686163,Wikidata: Q285550,Frankfurt,Germany,
Frankfurt Main Cemetery,50.1361,8.68486,Wikidata: Q881481,Frankfurt,Germany,
Franklin County Courthouse,42.09583333,-111.87722222,Wikidata: Q48791897,Preston,United States,
Franklin Pierce Tate House,35.7406,-81.6947,Wikidata: Q18158637,Morganton,United States,
Franklin School,42.430833,-71.229167,Wikidata: Q5491814,Massachusetts,United States,
Franvillers Communal Cemetery,49.964696,2.511449,Wikidata: Q2122239,Franvillers,France,
Französischer Friedhof,50.1336,8.9091,Wikidata: Q1450701,Hanau,Germany,
Fraser Tombs,28.161938888,30.776938888,Wikidata: Q675047,Minya Governorate,Egypt,
Frauenkirche,48.138578587,11.573615723,Wikidata: Q167193,,,
Frauenkirche,48.456606156,10.276721678,Wikidata: Q1451776,Günzburg,Germany,
Frauenkirchhof,51.05192566,13.74162483,Wikidata: Q1451779,Dresden,Germany,
Fred F. French Building,40.755361111,-73.978888888,Wikidata: Q2893962,New York,United States,
Fred Florence Hall,32.84558093,-96.78610645,Wikidata: Q54871225,University Park,United States,
Fred Hottes House,43.619166666,-116.194444444,Wikidata: Q64789421,Boise,United States,
Frederick L. and L. Frederick Gottschalk Houses,41.433055555,-97.352222222,Wikidata: Q65042336,Columbus,United States,
Frederik's Church,55.685,12.589444444,Wikidata: Q1321231,Copenhagen Municipality,Denmark,
Frederiksborg Palace,55.935,12.300833333,Wikidata: Q226103,Hillerød Municipality,Denmark,
Freikirchlicher Friedhof Wuppertal,51.2653,7.15,Wikidata: Q1454435,Wuppertal,Germany,
Freising Cathedral,48.39892653,11.746495305,Wikidata: Q262769,Freising,Germany,
French Embassy building,52.516944444,13.378888888,Wikidata: Q134893215,Berlin-Mitte,Germany,
Fricourt German war cemetery,50.004444444,2.715277777,Wikidata: Q2972646,Fricourt,France,
Frida Kahlo Museum,19.355143,-99.162525,Wikidata: Q2663377,Coyoacán,Mexico,
Friedenshügel,54.77288,9.4037,Wikidata: Q18697773,Flensburg,Germany,
Friedhof,49.206030475,10.701067401,Wikidata: Q1457290,Merkendorf,Germany,
Friedhof,49.7125,10.2163,Wikidata: Q437902,Mainbernheim,Germany,
Friedhof (Böckingen),49.1453,9.18824,Wikidata: Q1457287,Heilbronn,Germany,
Friedhof Adlershof,52.443016666,13.546733333,Wikidata: Q1457292,Treptow-Köpenick,Germany,
Friedhof am Hallo,51.4792,7.05342,Wikidata: Q1457458,Essen,Germany,
Friedhof am Hörnli,47.565694444,7.639555555,Wikidata: Q1457464,Riehen,Switzerland,
Friedhof am Kettwiger Tor,51.4501,7.01333,Wikidata: Q1457462,Essen,Germany,
Friedhof am Perlacher Forst,48.098623154,11.596560336,Wikidata: Q1457460,Munich,Germany,
Friedhof Baumschulenweg,52.460833333,13.493888888,Wikidata: Q1457298,Berlin,Germany,
Friedhof Brisgaret,49.54916667,0.19666667,Wikidata: Q1457308,Montivilliers,France,
Friedhof Chrochrjakowskoje,56.903888888,53.307222222,Wikidata: Q4500591,Khokhryaki,Russia,
Friedhof der Märzgefallenen,52.524444444,13.436388888,Wikidata: Q1457472,Friedrichshain-Kreuzberg,Germany,
Friedhof Drüsewitz,53.9901,12.4605,Wikidata: Q1457320,Selpin,Germany,
Friedhof Ewiger Frieden,52.1374,8.68559,Wikidata: Q1457323,Herford,Germany,
Friedhof Frankfurt-Unterliederbach,50.1139,8.52826,Wikidata: Q1457432,Frankfurt,Germany,
Friedhof Hadersdorf-Weidlingau,48.2075,16.233888888,Wikidata: Q1457335,Penzing,Austria,
Friedhof Heerstraße,52.514,13.251,Wikidata: Q176298,Charlottenburg-Wilmersdorf,Germany,
Friedhof Heinersdorf,52.574722222,13.4375,Wikidata: Q1457341,Pankow,Germany,
Friedhof Höchst,50.1153,8.54833,Wikidata: Q1457346,Frankfurt,Germany,
Friedhof Idstein,50.21,8.27,Wikidata: Q998526,Idstein,Germany,
Friedhof II der Sophiengemeinde Berlin,52.5339,13.3917,Wikidata: Q1457350,Bezirk Mitte,Germany,
Friedhof IV der Gemeinde Jerusalems- und Neue Kirche,52.486388888,13.403888888,Wikidata: Q1457352,Friedrichshain-Kreuzberg,Germany,
Friedhof Jammertal,52.1575,10.3556,Wikidata: Q1457357,Salzgitter,Germany,
Friedhof Kals am Großglockner,47.0013,12.6446,Wikidata: Q1457358,Kals am Großglockner,Austria,
Friedhof Lankwitz,52.424,13.3345,Wikidata: Q1457361,Berlin,Germany,
Friedhof Mauer,48.153611111,16.273611111,Wikidata: Q1457371,Mauer,Austria,
Friedhof Norderreihe Altona,53.55833333,9.95333333,Wikidata: Q1457375,Hamburg,Germany,
Friedhof Nymphenburg,48.16225,11.506861111,Wikidata: Q2006147,Munich,Germany,
Friedhof Oberlaa,48.138611111,16.405833333,Wikidata: Q1121352,Favoriten,Austria,
Friedhof Öjendorf,53.55277778,10.125,Wikidata: Q1457488,Hamburg-Mitte,Germany,
Friedhof Pankow II,52.563333333,13.3975,Wikidata: Q1254379,Pankow,Germany,
Friedhof Pankow VII,52.593333333,13.365,Wikidata: Q1457392,Pankow,Germany,
Friedhof Pasing,48.136460139,11.458995084,Wikidata: Q1457397,Munich,Germany,
Friedhof Perlach,48.098433316,11.641664226,Wikidata: Q1457399,Munich,Germany,
