name,latitude,longitude,description,city,country,address
A. E. Larson Building,46.6022,-120.504,Wikidata: Q14713581,Yakima,United States,
A.M.V.J. building,52.362944444,4.8795,Wikidata: Q21707612,Amsterdam,Netherlands,
Aachen Cathedral,50.77475,6.083922222,Wikidata: Q5908,Aachen-Mitte,Germany,
Aachen East Cemetery,50.7763,6.10717,Wikidata: Q2035472,Aachen,Germany,
Abbey Church of St. Anna,48.140221586,11.585904653,Wikidata: Q875536,Schwabing-Freimann,Germany,
ABC Serrano,40.432241666,-3.686880555,Wikidata: Q5817981,Salamanca,Spain,
Abel Tasmanschool,53.33121,6.9215,Wikidata: Q1919469,Eemsdelta,Netherlands,
Abeno Harukas,34.645947222,135.514266666,Wikidata: Q16318627,,,
Abney Park Cemetery,51.5649,-0.0781,Wikidata: Q124369,London Borough of Hackney,United Kingdom,
Abraj Al Bait,21.418888888,39.826388888,Wikidata: Q189476,Mecca,Saudi Arabia,
Abteiberg Museum,51.192778,6.433056,Wikidata: Q206346,Mönchengladbach,Germany,
Abu Rawash,30.032222222,31.074722222,Wikidata: Q335278,Kerdasa,Egypt,
Abulfazlil Abbas Mosque,40.651973335,47.738793829,Wikidata: Q110104543,Goychay,Azerbaijan,
Abusir,29.896111111,31.203611111,Wikidata: Q336098,Markaz al Badrashayn,Egypt,
Abydos,26.185167,31.918889,Wikidata: Q192268,Sohag Governorate,Egypt,
Academie Brochu,42.079444,-72.038056,Wikidata: Q4671318,Southbridge,United States,
Academiesingel lighthouse,51.593138888,4.778166666,Wikidata: Q42303960,Breda,Netherlands,
Achiet-le-Grand Communal Cemetery,50.1365,2.7756,Wikidata: Q2168563,Achiet-le-Grand,France,
Achiet-le-Petit Communal Cemetery,50.122252,2.756849,Wikidata: Q2289520,Achiet-le-Petit,France,
Ada Arts and Heritage Center,34.771053,-96.676472,Wikidata: Q346270,Ada,United States,
Adam P. Leighton House,43.651111,-70.276111,Wikidata: Q4679576,Portland,United States,
Adamson House,34.034444,-118.678333,Wikidata: Q4680503,Malibu,United States,
Adina Mosque,25.15255737,88.16423798,Wikidata: Q357320,West Bengal,India,
"Administration Building, Treasure Island",37.816944,-122.370278,Wikidata: Q4683413,San Francisco,United States,
Admiralty building in Saint Petersburg,59.937458333,30.30855,Wikidata: Q359185,Second Admiral Island,Russia,
Adolfo Alsina town hall,-37.180333,-62.761194,Wikidata: Q58864279,Adolfo Alsina Partido,Argentina,
Adolfo Gonzales Chaves municipal market,-38.03375,-60.098417,Wikidata: Q60537809,Adolfo Gonzales Chaves Partido,Argentina,
Adolfo Gonzales Chaves town hall,-38.032833,-60.098528,Wikidata: Q58864200,Adolfo Gonzales Chaves Partido,Argentina,
African Cemetery No. 2,38.050139,-84.478056,Wikidata: Q180624,Lexington,United States,
"Afrikahuis, Amsterdam",52.352889,4.897762,Wikidata: Q28922920,Amsterdam,Netherlands,
Agape Centro Ecumenico,44.892507,7.054158,Wikidata: Q3606344,Prali,Italy,
Agecroft Cemetery,53.5098,-2.29431,Wikidata: Q4691940,Pendlebury,United Kingdom,
Agenville Churchyard,50.164908,2.099312,Wikidata: Q2029134,Agenville,France,
Agnez-les-Duisans Communal Cemetery,50.30444,2.660086,Wikidata: Q1913158,Agnez-lès-Duisans,France,
Ahavas Chesed Cemetery,30.6708,-88.0622,Wikidata: Q4695021,Alabama,United States,
Ahrensfelde East Churchyard,52.585,13.5731,Wikidata: Q1277986,Ahrensfelde,Germany,
Ahwahnee Hotel,37.745744,-119.574186,Wikidata: Q4696448,Yosemite Village,United States,
Aiboa,43.343889,-3.002778,Wikidata: Q3035014,Getxo,Spain,
Aiken Colored Cemetery,33.5704,-81.7242,Wikidata: Q4696931,Aiken,United States,
Ainola,60.454514,25.08639,Wikidata: Q151782,Järvenpää,Finland,
Akhisar Stadium,38.9209,27.8118,Wikidata: Q17508044,Akhisar,Turkey,
Al Bahr Towers,24.456611111,54.400861111,Wikidata: Q15707433,Abu Dhabi,United Arab Emirates,
Al Faisaliah Centre,24.690277777,46.685277777,Wikidata: Q2303314,Riyadh,Saudi Arabia,
Al Hamra Tower,29.378611111,47.992777777,Wikidata: Q557933,,,
Al-Akbar Mosque,-7.336543,112.715243,Wikidata: Q13094984,Surabaya,Indonesia,
Al-Baqi',24.466944444,39.616388888,Wikidata: Q154204,Medina,Saudi Arabia,
Alabama State Capitol,32.377447222,-86.300941666,Wikidata: Q473393,Alabama,United States,
Albanifriedhof,51.531938888,9.94195,Wikidata: Q2637231,Göttingen,Germany,
Albany Rural Cemetery,42.706667,-73.735556,Wikidata: Q1790095,Menands,United States,
Aldershot Military Cemetery,51.2553,-0.746944,Wikidata: Q4713728,Rushmoor,United Kingdom,
Ale's Stones,55.3827,14.0544,Wikidata: Q686510,Ystad Municipality,Sweden,
Alexa,52.5192,13.4156,Wikidata: Q322847,Bezirk Mitte,Germany,
Alexander K. McClure School,40.015,-75.1381,Wikidata: Q4719270,Philadelphia,United States,
Alexander Nevsky Cathedral,59.435833333,24.739444444,Wikidata: Q568214,,,
Alexander Nevsky Cathedral,42.695838888,23.332969444,Wikidata: Q43282,,,
"Alexander Nevsky Cathedral, Paris",48.877558333,2.301991666,Wikidata: Q1493222,Paris,France,
Alexeevskoe Cemetery,55.818380555,37.643733333,Wikidata: Q4061925,Moscow,Russia,
Alexis Palace,59.928055555,30.283416666,Wikidata: Q1620227,Saint Petersburg,Russia,
Alfonse M. D'Amato United States Courthouse,40.7596,-73.1906,Wikidata: Q4721975,Central Islip,United States,
Alfred Butters House,39.73433,-104.98135,Wikidata: Q133733173,Denver,United States,
Alfred H. and Sarah Frahm House,41.45398,-96.02803,Wikidata: Q64877757,Fort Calhoun,United States,
Algemene Begraafplaats Crooswijk: grafheuvel met kwadrant en rotonde,51.93833,4.48927,Wikidata: Q17457097,Rotterdam,Netherlands,
Algemene Begraafplaats Hofwijk,51.95778,4.4,Wikidata: Q2196395,Rotterdam,Netherlands,
Algemene Begraafplaats Meppelerstraatweg,52.518333,6.1075,Wikidata: Q2013113,Zwolle,Netherlands,
Algemene Begraafplaats Montfoort,52.043167,4.944911,Wikidata: Q2210097,Montfoort,Netherlands,
Algemene Begraafplaats Schoonebeek,52.660297,6.882569,Wikidata: Q2208609,Emmen,Netherlands,
Algiers Central Post Office,36.773056,3.059444,Wikidata: Q3115007,Algiers,Algeria,
Algorta,43.350847222,-3.009513888,Wikidata: Q3124553,Getxo,Spain,
All Saints Church in Hodovytsia,50.2794,24.5394,Wikidata: Q11155330,Hodovytsia,Ukraine,
Allegheny Cemetery,40.4725,-79.95,Wikidata: Q1271094,Pittsburgh,United States,
"Allerheiligenkirche, Graz",47.0658,15.385,Wikidata: Q2648545,Graz,Austria,
Allerton Cemetery,53.35981,-2.87597,Wikidata: Q4732137,Liverpool,United Kingdom,
Alley of Honor,40.361944444,49.820833333,Wikidata: Q2671033,Baku,Azerbaijan,
Allonville Communal Cemetery,49.94118,2.369244,Wikidata: Q2666049,Allonville,France,
Almaty International Airport,43.351944444,77.040555555,Wikidata: Q858844,,,
Almudena Cathedral,40.415556,-3.714444,Wikidata: Q849711,,,
Alpenzoo,47.2823,11.40061,Wikidata: Q116619712,Innsbruck,Austria,
Alta Mesa Memorial Park,37.3983,-122.129,Wikidata: Q2477691,Palo Alto,United States,
Altare della Patria,41.894722222,12.483055555,Wikidata: Q506234,Rome,Italy,
Alte Synagoge,50.0833,8.23695,Wikidata: Q436316,Wiesbaden,Germany,
Alte Synagoge,49.14,9.22181,Wikidata: Q436308,Heilbronn,Germany,
"Alter Annenfriedhof, Dresden",51.0359,13.7129,Wikidata: Q437721,Dresden,Germany,
Alter Friedhof,51.1041,13.639,Wikidata: Q437897,Radebeul,Germany,
Alter Friedhof,49.145,9.22755,Wikidata: Q437892,Heilbronn,Germany,
Alter Friedhof,49.134,9.1947,Wikidata: Q437867,Heilbronn,Germany,
Alter Friedhof,48.0007,7.85696,Wikidata: Q437887,Freiburg im Breisgau,Germany,
Alter Friedhof,50.0896,8.23133,Wikidata: Q437906,Wiesbaden,Germany,
Alter Friedhof,50.6408,7.22596,Wikidata: Q437863,Bad Honnef,Germany,
Alter Friedhof (Baiertal),49.3007,8.73773,Wikidata: Q437864,Wiesloch,Germany,
Alter Friedhof (Dirmstein),49.5632,8.2593,Wikidata: Q437870,Dirmstein,Germany,
Alter Friedhof Herford,52.11157,8.668073,Wikidata: Q437910,Herford,Germany,
