name,latitude,longitude,description,city,country,category,address,phone,website
Blanche Kelso Bruce Elementary School,38.929722222,-77.025555555,,"Washington, D.C.",United States,university,,,
Blandford Cemetery,37.2258,-77.3806,,Petersburg,United States,cemetery,,,
Block Realty-Baker House,34.770833,-92.324444,,Little Rock,United States,landmark,,,
Blue Chapel,40.7613,-74.0379,,Union City,United States,cemetery,,,
BLUE FRONT SHIBAURA,35.651388888,139.757777777,,Tokyo,Japan,landmark,,,
Blue Pavilion,44.39583333,8.93972222,,Genoa,Italy,landmark,,,
BMW Central Building,51.4081,12.4435,,Leipzig,Germany,landmark,,,
BMW Welt,48.17694,11.55667,,Milbertshofen-Am Hart,Germany,landmark,,,
Bode Museum,52.521944444,13.394722222,,Bezirk Mitte,Germany,museum,,,
Bodenstown,53.266666666,-6.666666666,,Bodenstown,Ireland,cemetery,,,
"Boerhaaveplein 28, Amsterdam",52.359477777,4.912716666,,Amsterdam,Netherlands,landmark,,,
Boëseghem churchyard,50.66151,2.43826,,Boëseghem,France,cemetery,,,
Boffles churchyard,50.254194,2.202634,,Boffles,France,cemetery,,,
Bogenhausener Friedhof,48.147847222,11.601513888,,Bogenhausen,Germany,cemetery,,,
Bogorodskoje-kyrkogården,55.766072222,38.3101,,Moscow Oblast,Russia,cemetery,,,
Bogoslovskoe cemetery,59.990555555,30.394722222,,Kalininsky District,Russia,cemetery,,,
Bohemian National Cemetery,41.977757,-87.728115,,Chicago,United States,cemetery,,,
Bohemian National Cemetery,39.3078,-76.5536,,Baltimore,United States,cemetery,,,
Böhmischer Gottesacker,52.473416666,13.4423,,Neukölln,Germany,cemetery,,,
Bois-de-Vaux Cemetery,46.51823,6.60245,,Canton of Vaud,Switzerland,cemetery,,,
Bois-Grenier Communal Cemetery,50.647567,2.875517,,Bois-Grenier,France,cemetery,,,
BOK Tower,36.155,-95.9903,,Tulsa,United States,landmark,,,
Bøler samfunnshus,59.883502777,10.842963888,,Oslo Municipality,Norway,landmark,,,
Bolmers högar,55.46839167,13.10966944,,Vellinge Municipality,Sweden,cemetery,,,
Bolsheohtinskoe cemetery,59.95,30.439444444,,Saint Petersburg,Russia,cemetery,,,
Bolshoi Theatre,55.760277777,37.618611111,,Tverskoy District,Russia,theater,,,
Bolton Street Memorial Park,-41.2793,174.774,,Wellington City,New Zealand,cemetery,,,
Bolwoningen,51.72944,5.30639,,'s-Hertogenbosch,Netherlands,landmark,,,
Bonaventure Cemetery,32.047288,-81.043687,,Thunderbolt,United States,cemetery,,,
Bonifacio cemetery,41.3869,9.15028,,Bonifacio,France,cemetery,,,
Bonjour Tristesse,52.4999,13.4435,,Friedrichshain-Kreuzberg,Germany,landmark,,,
Bonn Minster,50.733408,7.099789,,Stadtbezirk Bonn,Germany,church,,,
Bonn North Cemetery,50.7541,7.06781,,Stadtbezirk Bonn,Germany,cemetery,,,
Bonnefanten Museum,50.842529,5.701984,,Maastricht,Netherlands,museum,,,
Boone County Courthouse,36.230278,-93.108056,,Arkansas,United States,landmark,,,
Boone's Mounds,33.379584,-92.5710145,,Calhoun County,United States,cemetery,,,
Bootham Cemetery,50.238157,2.882102,,Héninel,France,cemetery,,,
Bordentown School,40.1414,-74.7236,,Burlington County,United States,university,,,
Borgel cemetery,36.823887,10.19081,,Tunis,Tunisia,cemetery,,,
Borisovskoye Cemetery,55.634688888,37.734769444,,Moscow,Russia,cemetery,,,
Bornova Anglican Cemetery,38.45954,27.21065,,Bornova district,Turkey,cemetery,,,
