match_type,wikidata_name,apify_name,wikidata_qid,wikidata_city,wikidata_country,apify_city,apify_country,apify_rating,distance_meters,wikidata_id,apify_id
location_only,"Brno Ossuary","Kostnice u sv. Jakuba",Q4971773,"Brno-město","Czech Republic","Brno-střed","Czech Republic",4.5,21,b8e8c840-88c6-4cb7-b24f-8bfab8ea595f,0ffb5db4-4f00-46ba-aa24-8cafa3e10dc1
location_only,"Broad Contemporary Art Museum","Los Angeles County Museum of Art",Q162154,"Los Angeles","United States","Los Angeles","United States",4.6,77,5b823fab-44a6-46fe-899a-aac88e319ab4,850d5eb9-0ab2-4690-adcd-d90c8097a0d0
location_only,"Brockley and Ladywell Cemeteries","Brockley & Ladywell Cemeteries",Q4972839,"London Borough of Lewisham","United Kingdom","London","United Kingdom",4.2,77,ccd34851-94d4-4181-8062-c06be83d8145,b1400ea3-3ec0-47a1-97c4-3b9902528f6d
exact_name,"Bromley Cemetery","Bromley Cemetery",Q4973669,"Christchurch City","New Zealand","Christchurch","New Zealand",3.9,67,0fdbd8c5-bb29-4d66-8ade-198911620889,d32bd68c-76d7-428e-904e-6f891cebec0b
exact_name,"Brompton Cemetery","Brompton Cemetery",Q926913,"Royal Borough of Kensington and Chelsea","United Kingdom","London","United Kingdom",4.7,145,01084cc7-a496-4ce5-b79b-20f8a8ce5e06,21e9db72-fa4b-47d9-a03d-9666e29672f3
exact_name,"Brookfield Cemetery","Brookfield Cemetery",Q4974563,"Brookfield","United States","Brookfield","United States",5,84,174a0e7f-8c69-42cc-a474-c8a390cc36c5,8ca0bad6-5854-4a88-a108-67c1f8693ae5
similar_name,"Brooklyn Tower","The Brooklyn Tower",Q22329554,"New York","United States","Brooklyn","United States",3.8,18,6084647d-0dd3-4523-b9d3-9847da082953,83abff52-d194-4c24-90ec-39fc4b6776e7
location_only,"Brotherhood Cemetery","Bratskoye Kladbishche",Q1984750,"Sevastopol","Ukraine","Sevastopol","Russia",4.9,19,adfc13bb-4d9c-4222-8388-c2061dff0fdb,7bf9f5d8-9f77-46a6-83e0-7746771ecb9c
location_only,"Broxeele churchyard","Église catholique Saint-Quentin à Broxeele et son Cimetière",Q2535211,"Broxeele","France","Broxeele","France",5,20,54beff3e-a15b-4d52-af16-f815688a7f4b,5dcc3d61-3e1c-4e47-856c-2c9e1e1ba1e0
location_only,"Brühl Palace, Warsaw","Brühl Palace - Foundaments",Q996986,"Warsaw","Poland","Warsaw","Poland",3.7,64,9c8df26b-f760-4fd0-bb51-cab92fbf5305,f13f1d65-84c9-46fb-a63c-f208fd91c8ab
exact_name,"Brunswick Cathedral","Brunswick Cathedral",Q279402,"Brunswick","Germany","Braunschweig","Germany",4.6,70,731f82a5-c39e-48d5-997b-868fc90035d7,f5e5791c-5d71-4bcd-827c-b760876a89f4
location_only,"Brussels Cemetery","Communal cemetery Schaerbeek",Q579666,"Evere","Belgium","Evere","Belgium",4.3,76,ab2c8241-5e7c-4cf1-9b3c-287aa9530efb,8ab740de-ca2c-42c8-a1b9-c6c4a86d71b9
exact_name,"Brussels Town Hall","Brussels Town Hall",Q1255327,"City of Brussels","Belgium","Brussels","Belgium",4.7,43,3684d535-cd0c-4505-907c-758194c5bf2b,0352891f-e35c-4d55-a4cb-a36156fb906d
location_only,"Brussels-Luxembourg railway station","Brussel-Luxemburg",Q800583,"Ixelles","Belgium","Brussel","Belgium",4.2,73,e90fce7c-fcf1-4949-849a-0ef0304b8b76,6938cc5c-c73d-475f-9388-1d860cf904d4
location_only,"Bryce Canyon Lodge","The Lodge at Bryce Canyon",Q2927193,"Garfield County","United States","Bryce Canyon City","United States",4.4,8,45fbe30b-4bbb-4982-90d9-f1bf25cfa70f,956e6020-3ea0-4b76-aa6b-6a65c25f91d6
location_only,"Buckingham Building","333 S Wabash Ave",Q16985591,"Chicago","United States","Chicago","United States",,76,ebc96faa-6f84-4f93-b2ce-121205a0a92d,02682ff3-2ec7-4839-a6bb-8d8d89bc8b3b
exact_name,"Buckingham Palace","Buckingham Palace",Q42182,"City of Westminster","United Kingdom","London","United Kingdom",4.5,42,b0640956-2b1d-42da-a0cb-27be92444e21,3919ed7a-726c-4968-8a70-8838ba63720f
similar_name,"Bucquoy Communal Cemetery","Bucquoy Communal Cemetery Extension",Q1846354,"Bucquoy","France","Bucquoy","France",,94,fe31a7dd-399e-46e1-aa86-a86c1e40b70a,8f24a1c0-92c9-432d-b946-99d190ece20a
similar_name,"Budapest-Keleti railway station","Budapest-Keleti",Q841167,"Budapest","Hungary","Budapest","Hungary",3.8,44,0787cbf1-5735-4a21-9fcf-62284caa7200,b3d4c7a0-b04f-4e7d-910a-da0dee938c3d
similar_name,"Building A","Building A Radio Kootwijk",Q2116292,"Radio Kootwijk","Netherlands","Radio Kootwijk","Netherlands",4.4,12,87b5c023-fe19-4c33-a659-00a598aee2f8,597e2c3e-3224-44c7-b364-d6166c344988
location_only,"Building at 30–34 Station Street","ColorLab.",Q4986560,"Brookline","United States","Brookline","United States",5,7,ebfaecba-132f-486e-85e3-3d0ae93ba7a1,f94f0cd0-78a6-4d9b-a41d-7d3fc9b9ae91
location_only,"building of revenue house of K. A. Vorozhein","House of Masalitina",Q16645453,"Rostov-on-Don","Russia","Rostov-on-Don","Russia",5,3,18519ea6-b705-4156-a192-f97a4a5a1aa0,93a67631-2788-4dea-8c32-a425f7af1fa7
location_only,"Building of the Congress of Puebla","H. Congreso del Estado de Puebla",Q25905552,"Puebla","Mexico","Puebla","Mexico",4.6,38,a88924df-9ada-47d2-9523-6b28cb2ed16a,e75c83dd-a920-4cbf-9e4b-d4835db206a0
location_only,"Building of TVP Warsaw","TVP Telewizja Polska",Q109058191,"Mokotów","Poland","Warsaw","Poland",4.2,17,6ac5778e-69d3-44a6-8879-857cf53aa684,968ba977-63be-4ba4-9050-2ea611c8c10c
location_only,"Buildings at 1644-1666 Park Road NW","1644 Park Rd NW",Q4986639,"Washington, D.C.","United States","Washington","United States",,52,e0d59069-2497-47ac-a577-52cd9cd3ac42,f96ded0a-6271-4de7-8036-46625e59b695
location_only,"Bullring of Castro Urdiales","Castro-Urdiales Bullring",Q24023628,"Castro Urdiales","Spain","Castro Urdiales","Spain",3.6,5,2136bad7-7cf9-4f3a-9cef-2cd83de7bae8,c4327e60-f1e6-42b6-8b4f-765a92ff8b8f
location_only,"Bullring of Teruel","Teruel Bullring",Q24023791,"Teruel","Spain","Teruel","Spain",4.3,20,ced0a235-4449-44df-a893-933f1ff4859f,7dc8b4ab-cca9-4567-841a-8f52d87a79cd
similar_name,"Bully's Acre, Dublin","Bully's Acre",Q4997076,"Dublin","Ireland","Dublin","Ireland",4.6,8,581a7004-0840-4d15-81ce-320d6e20e87b,36a5b328-ef92-4a8a-ab18-9ff4fda53174
location_only,"Bümpliz Cemetery","Cemetry Bümpliz",Q1457311,"Bern","Switzerland","Bern","Switzerland",4.8,125,3139fbf2-200f-4503-a571-76d8719da5db,45f74a64-5150-43b1-8c57-a2b840722768
similar_name,"Bunyans Cemetery","Bunyans Cemetery, Tilloy-les-Mofflaines",Q2630097,"Tilloy-lès-Mofflaines","France","Tilloy-lès-Mofflaines","France",4.5,17,bb2e6663-c4ba-47b3-b24d-18a27ab47a34,93bf8d4b-c8d7-47f5-90e8-1d84581adaa9
exact_name,"Burgerweeshuis","Burgerweeshuis",Q2787387,"Amsterdam","Netherlands","Amsterdam","Netherlands",4.2,50,85298ea1-4749-4065-bf90-2da176b2cca9,13be34e5-a2f7-41ec-93b1-44f65122d0b8
location_only,"Burial mounts at De Dorschkamp","Grafheuvel",Q17454801,"Wageningen","Netherlands","Wageningen","Netherlands",3.3,59,de2f7328-387a-4f9f-b645-169d60933dce,f3bc9264-2ad4-4438-8d79-a84ae35a0594
location_only,"Burj al-Arab","Jumeirah Burj Al Arab",Q62939,"Dubai","United Arab Emirates","Dubai","United Arab Emirates",4.7,22,5ae2a4a9-8fe8-44ed-bfba-a1711fd1a468,c49e3f32-a942-4415-8381-24a1962700d0
