wikidata_id,wikidata_name,wikidata_qid,wikidata_city,wikidata_country,apify_id,apify_name,apify_rating,apify_city,apify_country,apify_gpid,distance_meters
8fcc26dd-6327-4650-b237-fd6bde9841cd,"Islamic Center of Greater Toledo",Q113555543,"Perrysburg","United States",af328be4-2141-40c1-99d4-7e40937a7e9e,"Islamic Center of Greater Toledo (ICGT)",4.2,"Perrysburg","United States",ChIJCaidWUF2PIgRpBoHb2uwngA,70
76cf74b0-b565-43b7-9359-47ceebdd581c,"Israel Museum",Q46815,"","",c1a11ead-2df3-4e32-95e3-d207ef404fd4,"The Israel Museum, Jerusalem",4.7,"Jerusalem","Israel",ChIJh6UFB87XAhURgw8LdPRZjnQ,43
b218f582-b8cb-41a0-8925-5e0834c41ab8,"Istiqlal Mosque",Q475379,"Pasar Baru","Indonesia",1140e048-0cd7-4262-8094-e64f1a364d28,"Istiqlal Mosque",4.8,"Central Jakarta City","Indonesia",ChIJHeC1aM71aS4RbAyE1ULw-so,80
7d74f867-9314-4e80-8d2f-b796717846e2,"Italian Military Cemetery of Bligny",Q2972661,"Bligny","France",b3e85c05-df9e-4f78-81fd-bb4266077b18,"Cimetière milita ire italien",4.7,"Chambrecy","France",ChIJkxu5SPAO6UcR85WRBLh6m_k,21
a7f36853-b681-406b-b597-6f61577116a5,"J. Edgar Hoover Building",Q167479,"Washington, D.C.","United States",685fe389-46e1-4628-92a5-9e769e7c6c0a,"Federal Bureau of Investigation Headquarters",4.4,"Washington","United States",ChIJeaKWfpq3t4kR6hGEiTZxWQk,40
66adfd2e-f370-4f81-a48b-5f15a6a1f840,"J. Marvin Jones Federal Building and United States Courthouse",Q6106481,"Amarillo","United States",db765089-bd4e-48c5-8b57-36687d5aae60,"JM Jones Federal Building",3.7,"Amarillo","United States",ChIJ8azcnftOAYcR7U0fHH9DISI,61
39e9ea8a-3838-4462-9887-242d497077ef,"James Simon Gallery",Q664484,"Bezirk Mitte","Germany",05899217-8005-4c79-9456-d36e10523f76,"Neues Museum",4.5,"Berlin","Germany",ChIJS8OUk91RqEcRNauNAPV5P40,72
bb264751-0b11-4a11-b2db-d353650e1df5,"Janet Gray Hayes Rotunda",Q133834591,"San Jose","United States",b03ea622-4ebb-4ea5-bc7d-01a9819dcb9e,"San Jose City Hall",4.2,"San Jose","United States",ChIJozSGNFnNj4AR44j8HyzgMao,60
714db124-2b9e-4c3f-b926-e330400d462e,"Jewish cemeteries in Pápa",Q587310,"Pápa","Hungary",6212f0b0-112e-4b41-a91e-53ce67b8ae58,"Papa Old Jewish Cemetery",,"Pápa","Hungary",ChIJaQLZqW1haUcR-mwk-s-ruHc,29
5d70dfcc-7b7a-48e5-81bd-ffd8f993265c,"Jewish cemetery in Mszczonów",Q3915816,"Mszczonów","Poland",75ab2d83-c6d1-4174-8f82-8634c11e79e0,"Jewish Cemetery",3,"Mszczonów","Poland",ChIJsQS7-3tBGUcRGDg3HqLY1Gs,67
8d95e7ff-36c7-450b-9061-3c4717bb0695,"Jewish cemetery in Währing",Q872769,"Vienna","Austria",d9ae2562-1e36-4ba5-bf9e-be3f270a67ae,"Jüdischer Friedhof Währing",4.5,"Vienna","Austria",ChIJD5KJoT8HbUcR1k_6i45BEvs,100
61a439a4-55f3-4960-9f1c-01d694b9907a,"Joel W. Solomon Federal Building and United States Courthouse",Q6214078,"Tennessee","United States",c68bdacf-acf6-4c25-839a-312076eb869f,"US Probation Office",3.2,"Chattanooga","United States",ChIJyX3NYnteYIgRYDNtOSC_uGE,24
